resource_kind,object_name,from_version/config,to_version/config,transition_class,cost_class,median_ms,p95_ms,invalidation_targets,reuse_safe,sample_count,success_count,failure_count,timeout_count,measurement_environment_id,workload_origin,benchmark_id,from_object_id,to_object_id
build_cache,rollup,4.63.1,4.63.1,exact_hit,TRANSITION,115.849327,130.54837519999998,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-007,build_cache:synthetic:rollup:4.63.1,build_cache:synthetic:rollup:4.63.1
build_cache,rollup,4.63.1,4.63.1,incompatible_switch,TRANSITION,121.79024,131.2020587,build_cache,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-007,build_cache:synthetic:rollup:4.63.1,build_cache:synthetic:rollup:4.63.1
build_cache,webpack,cold,5.110.1,artifact_cold,TRANSITION,442.626332,478.14835370000003,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-008,,build_cache:synthetic:webpack:5.110.1
build_cache,webpack,5.110.1,5.110.1,exact_hit,TRANSITION,446.922606,450.34154689999997,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-008,build_cache:synthetic:webpack:5.110.1,build_cache:synthetic:webpack:5.110.1
build_cache,webpack,5.110.1,5.110.1,incompatible_switch,TRANSITION,467.116771,506.4891136,build_cache,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-008,build_cache:synthetic:webpack:5.110.1,build_cache:synthetic:webpack:5.110.1
build_cache,vite,cold,8.2.2,artifact_cold,TRANSITION,355.514422,437.30761229999996,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-009,,build_cache:synthetic:vite:8.2.2
build_cache,vite,8.2.2,8.2.2,exact_hit,TRANSITION,351.747687,373.9246701,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-009,build_cache:synthetic:vite:8.2.2,build_cache:synthetic:vite:8.2.2
build_cache,vite,8.2.2,8.2.2,incompatible_switch,TRANSITION,352.37254,429.86765289999994,build_cache,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-009,build_cache:synthetic:vite:8.2.2,build_cache:synthetic:vite:8.2.2
build_cache,make/bootstrap/setup | startup、incremental output、cleanup,cold,v1,artifact_cold,TRANSITION,117.210208,121.4112483,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-016,,build_cache:synthetic:bld-016
build_cache,generic codegen/generate | cold、output cache、schema/config invalidation,cold,v1,artifact_cold,TRANSITION,0.167884,0.1842613,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-017,,build_cache:synthetic:bld-017
